worker_id,zone_id,city,zone_label,platform,season,months_active,avg_daily_hours,past_claims_count,zone_flood_risk,zone_heat_risk,zone_aqi_risk,weekly_earnings,daily_orders,avg_income_per_order,disruption_exposure,risk_label,plan_name,plan_base_premium,plan_max_payout,coverage_days,covered_event_count,avg_copay
W_00000,Z_DEL_001,Delhi,Delhi_Central,Zomato,festival,7,10.15,1,0.367,0.8661,0.9708,6708.84,17.31,62.51,0.6621,medium,nano,25.0,500.0,7,2,0.25
W_00001,Z_CHE_002,Chennai,Chennai_Suburban,Swiggy,winter,9,7.8,2,0.6274,0.8975,0.3028,6362.19,22.81,44.98,0.6506,medium,basic,49.0,1000.0,7,4,0.2
W_00002,Z_CHE_001,Chennai,Chennai_Central,Swiggy,festival,28,9.8,2,0.8274,0.9119,0.3824,7434.32,18.97,63.22,0.7591,medium,nano,25.0,500.0,7,2,0.25
W_00003,Z_MUM_002,Mumbai,Mumbai_Suburbs,Zomato,monsoon,8,8.7,4,0.638,0.5962,0.4634,4984.94,14.12,56.96,0.6012,medium,standard,79.0,2000.0,7,6,0.1
W_00004,Z_MUM_001,Mumbai,Mumbai_Coastal,Zomato,summer,17,8.55,3,0.8915,0.5865,0.4118,6357.84,17.57,58.36,0.6966,medium,standard,79.0,2000.0,7,6,0.1
W_00005,Z_CHE_002,Chennai,Chennai_Suburban,Blinkit,monsoon,4,10.02,3,0.5684,0.873,0.3233,4500.0,8.0,52.24,0.6368,high,nano,25.0,500.0,7,2,0.25
W_00006,Z_CHE_002,Chennai,Chennai_Suburban,Zomato,festival,4,10.45,1,0.6736,0.9363,0.3208,6047.64,18.47,52.81,0.6962,high,basic,49.0,1000.0,7,4,0.2
W_00007,Z_BLR_001,Bangalore,Bangalore_Central,Swiggy,winter,20,10.95,4,0.4876,0.4344,0.3481,7005.08,19.38,58.3,0.5032,medium,basic,49.0,1000.0,7,4,0.2
W_00008,Z_CHE_002,Chennai,Chennai_Suburban,Zomato,summer,18,7.49,0,0.6487,0.9177,0.315,4500.0,14.03,49.91,0.6595,medium,standard,79.0,2000.0,7,6,0.1
W_00009,Z_CHE_001,Chennai,Chennai_Central,Blinkit,festival,14,6.88,0,0.8508,0.8491,0.4007,6117.18,17.67,55.84,0.7286,medium,basic,49.0,1000.0,7,4,0.2
